Name,Model,Description,URL
Marimba One Lynn Vartan Graduated Marimba Mallet Set - Birch,N/A,"The Marimba One Lynn Vartan series mallets are ""just right"" for any grip, any piece, any ensemble, or any venue. This graduated set includes one each mallet LVB1, LVB3, LVB3, LVB5. Birch handles.

The incredibly durable and warm-sounding yarns give clarity, articulation and depth. This versatile series covers your needs from the combo vibe/marimba mallets at the hard end of the range down to the super warm and rich soft mallet. You're sure to find your ""just right"" fit in this line to add to your quiver!",https://www.steveweissmusic.com/products/marimba-one-lynn-vartan-graduated-marimba-mallet-set-birch
Malletech Kevin Bobo KB11 Medium Birch Marimba Mallets,MODEL: KB11,"Kevin Bobo is currently serving as Assistant Professor of Percussion at The University of Kansas. He has performed nationally and internationally as a solo recitalist, clinician, and orchestral percussionist. He holds a Bachelors Degree from Wichita State University where he studied with J.C. Combs and a Masters Degree from Ithaca College where he studied with Gordon Stout.",https://www.steveweissmusic.com/products/malletech-kevin-bobo-kb11-medium-marimba-mallets
Innovative Pius Cheung PIUS3B General Marimba Mallets - Birch,MODEL: PIUS3B,"The Innovative Percussion Pius Cheung Series Marimba Mallets features six models with rubber cores of varying hardness. Constructed on Birch handles, each model is wrapped with a very unique alpaca-blend yarn that allows the player to produce a strong musical fundamental at extreme dynamic ranges from the utmost silky pianissimo to peasante fortissimo with minimal effort.

The PIUS3 is a medium, general mid-range mallet for solo playing.",https://www.steveweissmusic.com/products/innovative-pius-cheung-marimba-mallets-general-birch
Yamaha Keiko Abe MKA-05 Med Hard Rattan Marimba Mallets,MODEL: MKA-05,"Yamaha's Keiko Abe Mallet series gives us the MKA05 Medium Hard Mallet. It features a rubber core with a 1mm tube Wrapped around it. A high quality yarn makes for the finishing wrap. The Rattan shaft is measured at 430mm.

This mallet will function pretty well in the soprano or alto voice in a graduated set. You'll also find it has its place in the lower voices too. A good all around mallet.",https://www.steveweissmusic.com/products/yamaha-keiko-abe-mallets-mka05
Malletech Grand Soloist GS13 Medium Hard Birch Marimba Mallets,MODEL: GS13,"A medium-hard, round-headed mallet that has clarity and a full-spectrum response in all ranges, without ever sounding harsh, on birch shafts.

The Grand Soloist mallets have a rubber core plus an additional layer of latex, mounted on select birch shafts. Unlike most of Malletech’s marimba mallets, they are similarly weighted. They are also wrapped differently than any of the other Malletech marimba models. The synthetic blend of yarn is wrapped medium-tightly and angled to produce a rounder head shape. Gordon’s design is a great choice for players who emphasize clear articulation.",https://www.steveweissmusic.com/products/malletech-gs13-medium-hard-birch-marimba-mallets
Yamaha Keiko Abe MKA-06 Med Soft Rattan Marimba Mallets,MODEL: MKA-06,"The MKA06 is the Medium Soft Mallet from the Yamaha Keiko Abe Mallet series. It has a rubber core with a 1mm tube wrapped around it. The MKA06 is finished in layers of a high quality yarn. The 430mm straight Rattan shaft will feel well balanced.

This is a great mallet for more legato of pieces that require a more delicate touch. Perfect in any place in a graduated set.",https://www.steveweissmusic.com/products/yamaha-keiko-abe-mallets-mka06
Malletech Chamber Series CH14 Medium Birch Marimba Mallets,MODEL: CH14,"The Malletech Chamber Series CH14 Medium Birch Marimba Mallets are designed for maximum marimba versatility. A very wide range of tonal colors.

-Birch Handles.",https://www.steveweissmusic.com/products/malletech-ch14-medium-birch-marimba-mallets
Vic Firth American Custom Keyboard - Medium Hard Rubber,MODEL: M5,"Vic Firth M5 Unwound American Custom Keyboard Mallets are made of medium rubber. For practice on marimba, xylophone and vibraphone. The M5 mallets are 16"" long.

The Vic Firth M5 American Custom Keyboard Mallets are designed to address a range of instruments and all dynamic levels. The unwound models deliver maximum sound. With birch shafts for rigidity and consistency, they are favored by players who prefer extra reach without the added flexibility of rattan.",https://www.steveweissmusic.com/products/vic-firth-american-custom-keyboard-m5
Marimba One Double Helix DHR3 Medium Hard Rattan Mallets,N/A,"The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap&rdquol; technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.",https://www.steveweissmusic.com/products/marimba-one-double-helix-dhr3
Innovative Ludwig Albert IP3103B Soft Birch Marimba Mallets,MODEL: IP3103B,"This line of professional keyboard mallets by Innovative Percussion has been specifically designed for Belgium marimba artist Ludwig Albert III. The eight models, previously only offered on rattan handles, are now available on natural birch handles with specially weighted rubber cores of varying sizes and degrees of hardness.

The IP3103B is a soft marimba mallet with birch handles.",https://www.steveweissmusic.com/products/innovative-ludwig-albert-ip3103b
Innovative Casey Cangelosi CGL2 Rich Articulate Marimba Mallets,MODEL: CGL2,"Wrapped in an environmentally friendly bamboo-blended cord, the Casey Cangelosi Series Marimba Mallets combines the rich, warm tonal characteristics of yarn with the articulate clarity of cord. These mallets are built on birch dowels with a natural finish and allow for a heavy bass sound without sounding muddy or washy, a delicate touch for lyrical legato passages that speak from the mallet immediately, and a steady timbre throughout the dynamic range. The two softest mallets are also available with a soft yarn wrap.

The CGL2 is intended to be used as a fast bass mallet and produces a rich bass sound.",https://www.steveweissmusic.com/products/innovative-casey-cangelosi-cgl2-marimba-mallets
Innovative Thomas Burritt TB3 Medium Marimba Mallets,MODEL: TB3,"The Innovative Thomas Burritt TB3 Marimba Mallet is the medium mallet of the series. The player gets superb articulation and balance with less attack and more timbre control. This is achieved by the fact that the core is loosely wrapped with a soft yarn. Special attention has been paid to the balance of this mallet series to create a unique playing experience for the performer. The TB3 will be the most versatile of the series.

Medium synthetic core
Birch handles with a classic walnut stain
Loosely wrapped mallet core to control timbre and minimize attack",https://www.steveweissmusic.com/products/innovative-percussion-thomas-burritt-tb3-medium-marimba-mallets
Innovative Pius Cheung PIUS4B Medium Hard Marimba Mallets - Birch,MODEL: PIUS4B,"The Innovative Percussion Pius Cheung Series Marimba Mallets features six models with rubber cores of varying hardness. Constructed on Birch handles, each model is wrapped with a very unique alpaca-blend yarn that allows the player to produce a strong musical fundamental at extreme dynamic ranges from the utmost silky pianissimo to peasante fortissimo with minimal effort.

The PIUS4 is a medium hard, high-range mallet for solo playing.",https://www.steveweissmusic.com/products/innovative-pius-cheung-marimba-mallets-medium-hard-birch
Innovative William Moersch IP503 Med Hard Marimba Mallets,MODEL: IP503,"This four model series of mallets has been designed exclusively for marimba virtuoso William Moersch. The hard acrylic-style core offers a full sound at soft dynamic levels and a bright sound at louder dynamic levels.

Features:
-Hard acrylic-style cores to create a full, bright tone and rich fundamental
-100% imported wool yarn
-Polished, hand-selected birch handles",https://www.steveweissmusic.com/products/innovative-william-moersch-ip503
Malletech Leigh Howard Stevens LS5 Soft Birch Marimba Mallets,MODEL: LS05,"Single-toned with a soft brown label. Model LS5 is a wide-range, dark-toned mallet designed for rich struck note passages and general chorale style playing. An LS5 in the soprano position, in conjunction with three LS1 mallets, gives the performer full-ranged velvet-smooth rolling capabilities.",https://www.steveweissmusic.com/products/malletech-ls5-soft-marimba-mallets
Vic Firth Robert Van Sice Marimba Mallets - Hard,MODEL: M116,"When the music demands extreme cutting power and a sharp, articulate edge, the Vic Firth M116 Robert Van Sice Hard Marimba Mallets are the perfect tool. Designed for the uppermost registers of the marimba, the M116 easily slices through dense orchestrations and large ensembles.

Designed by a Marimba Master

Respected internationally as a soloist and teacher, Robert Van Sice engineered this series with an exclusive yarn hand-wrapping technique that virtually eliminates the sound of bar contact, ensuring only the pure tone of the rosewood is heard. The yarn is secured via a unique interlocking stitch to maintain the head's integrity, while the extra-long maple handles provide unmatched reach and leverage.

Features:
Voicing: Hard articulation for maximum cutting power and sharp upper-register edge.
Seamless Articulation: Exclusive hand-wrapped yarn eliminates the sound of mallet-to-bar contact.
Extended Leverage: Long maple shafts provide incredible reach across the keyboard.
Dimensions: 17"" Length | Maple Handles",https://www.steveweissmusic.com/products/vic-firth-m116-marimba-mallets
Marimba One Double Helix DHB1 Very Hard Birch Mallets,N/A,"The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap” technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.",https://www.steveweissmusic.com/products/marimba-one-double-helix-dhb1
Marimba One Wave Wrap WWXB4 Medium Soft Birch Mallets,N/A,"The WWXB4 is a medium soft mallet with Gray/Cinnamon colored yarn and birch handles. The highest concentration of yarn is wrapped around the mallet's equator, creating an increased striking surface and a mallet that is more responsive than traditionally wrapped mallets. The Wave Wrap's blend of wool and nylon yarn minimizes contact sound and enhances articulation. Using Wave Wrap technology, the mallet is balanced to facilitate the ease of movement in the player's hand. The double equatorial wrap creates a chevron pattern around the playing surface and a distinctive wave on top of the head - two unique visual signatures for these finest of marimba mallets.",https://www.steveweissmusic.com/products/marimba-one-wave-wrap-medium-soft-birch
Innovative She-e Wu WU3 Medium Birch Marimba Mallets,MODEL: WU3,"The She-e Wu Signature Series Marimba Mallets from Innovative Percussion feature seven mallets of varying hardness, with natural birch handles and a custom blended yarn wrap. Each captures the unique style, sensitivity and essence of the artist that is She-e Wu.

Features:
A combination of hard acrylic-style and hard rubber cores to create a full, bright tone and rich fundamental
Hand-selected unfinished natural birch handles
Wool-blend yarn wrap
Elongated shaped mallet heads",https://www.steveweissmusic.com/products/innovative-she-e-wu-wu3
Encore NZ5B Nancy Zeltsman Medium Soft Birch Marimba Mallets,N/A,"The Encore NZ5B Nancy Zeltsman ""Medium Soft"" mallets are a nice, articulate bass mallet. They produce a very warm sound that can also be used in soft graduated sets in the ""tenor"" position. Birch Handles.

One unique characteristic of my line is that the oval-shape of the mallet head is horizontal rather than vertical. I imagine (and maybe it's true) that the width of the mallet activates more of the vertical grains of wood in every bar-thus contributing to a richer tone. Everything about the construction of my line of mallets-from the cores, to the latex, to the type of yarn-is aimed at helping you to produce a fundamental-rich tone.

- Nancy Zeltsman

Hardness - Medium Soft
Handles - Birch",https://www.steveweissmusic.com/products/encore-nancy-zeltsman-nz5b-mallets
Innovative She-e Wu WU4 Medium Hard Birch Marimba Mallets,MODEL: WU4,"The She-e Wu Signature Series Marimba Mallets from Innovative Percussion feature seven mallets of varying hardness, with natural birch handles and a custom blended yarn wrap. Each captures the unique style, sensitivity and essence of the artist that is She-e Wu.

Features:
A combination of hard acrylic-style and hard rubber cores to create a full, bright tone and rich fundamental
Hand-selected unfinished natural birch handles
Wool-blend yarn wrap
Elongated shaped mallet heads",https://www.steveweissmusic.com/products/innovative-she-e-wu-wu4
Balter Basics Series Birch BB2 Medium Marimba Mallets Blue Yarn,MODEL: BBB2,"The Balter Basics Medium marimba Mallet is an excellent all purpose mallet. Medium hardness mallets function well when playing soft and loud fast passages. A fine choice for a first marimba mallet.

Medium blue yarn head
Blue birch handle",https://www.steveweissmusic.com/products/balter-basics-series-birch-bb2-medium-marimba-mallets-blue-yarn
Salyers Performance Collection Birch Marimba Mallets - Medium,N/A,"The Salyers Percussion PCM30 Performer Collection medium marimba mallet is ideal for use on the middle 3 octaves of the 5 octave marimba. The mallets feature a dual surface birch shaft consisting of a natural, unlacquered grip area for maximum control. The upper portion of the shaft is lacquered for strength and durability. The rubber and latex core is wrapped with a 100% wool yarn.

The Performance Collection marimba mallets were designed with the serious soloist in mind. The collection features rubber and synthetic cores with varying layers of latex and a wool yarn wrap for a warm full-bodied sound.",https://www.steveweissmusic.com/products/salyers-performance-birch-marimba-mallets-medium
Marimba One Double Helix DHR4 Medium Rattan Mallets,N/A,"The Double Helix Series was developed to bring out the warmth of the fundamental throughout the range of the 5-octave marimba. The relaxed yarn tension on these mallets enhances the smooth, dark attack of the mallet.

The exclusive patent pending “double helix wrap” technique allows you to easily identify each mallet in the series. Two strands of yarn are wrapped independently of each other, creating a woven effect. After one of the strands makes a revolution around the mallet head, the other strand makes a revolution, securing the previous strand. This locks the yarn in place and prevents it from unraveling. This unique method of wrapping provides our mallets with their distinct look, and exceptional sound.",https://www.steveweissmusic.com/products/marimba-one-double-helix-dhr4
Liberty One LMS Soft Yarn Birch Marimba Mallets,N/A,"The Liberty One Series of Marimba Mallets come in three different head types for all of your playing situations and are Great Mallets at a Great Price!!

This version is the LMS model which features a Soft Yarn playing head and is suitable for softer playing as well as on the lower octaves of the Marimba. This model can also be used for suspended cymbal passages that require a softer dynamic level while still achieving a great ""whoosh"" sound.",https://www.steveweissmusic.com/products/liberty-i-lms-soft-yarn-birch-marimba-mallets
Innovative Dan Moore DM28 Jazz Vibe Mallets,MODEL: DM28,"This series of marimba and vibraphone mallets was developed for musician, composer and educator Dr. Dan Moore. Dan feels that creating music is the art of sculpting sound. Whether in a live concert or the recording studio making art with sound is all about choosing the right tools to shape your music. All of the models in the Dan Moore line highlight his full-bodied, resonant, and “fruity” sound. These mallets work well on both marimba and vibes. You can mix and match to help create your own sculpture in sound. All models have rattan handles.

The DM28 jazz vibe mallets are slightly lighter than the DM26. They work well in the upper registers of the marimba for combo/ensemble performance. It features a rich tone with good projection and a modern jazz sound. The DM28 also works well for unaccompanied vibe performances.",https://www.steveweissmusic.com/products/innovative-dan-moore-jazz-mallets
Malletech Leigh Howard Stevens LS10 Soft–Medium Hard Birch Marimba Mallets,MODEL: LS10,"Soft to medium hard, green label, and multi-toned. The LS10 is a full range, soft to medium-hard mallet that speaks clearly in all registers. This model is warm and full-bodied up to forte where a hint of brightness begins to project. Birch shafts.",https://www.steveweissmusic.com/products/malletech-ls10-soft-medium-hard-marimba-mallets
Malletech Late Nite Series Soft Mallets - Rattan Handles,N/A,"The Malletech Late Night Series grants mallet players the ability to practice on their instrument delivering an extremely low volume sound. Essentially this is the practice pad for mallet players. Play with normal natural feel, mallets to bar. No covers, mutes or bar treatments needed. Perfect for warming up backstage, apartment or dorm living situations.

The LN2R is snugly wrapped with a nylon yarn delivering a soft and quiet tone with articulation.

Rattan Handles",https://www.steveweissmusic.com/products/malletech-late-nite-soft-rattan
Malletech Concerto Series CN9 Soft to Medium Birch Marimba Mallets,N/A,"Soft to medium, multi-toned. The CN9 is excellent for general use in all types of solo and ensemble situations. It will produce clear passage work throughout the full range of the marimba, warm and rich at low volume, with a hint of brightness at higher levels.

The six models that comprise the Concerto Series have been designed specifically for those players looking for a heavy mallet with a big sound that will project through a large ensemble, but do not want the contact noise that is usually associated with this type of mallet. Compared to standard traditional mallets of similar hardness, the player will immediately notice proportionally more fundamental tone and greater volume. While many synthetic yarns suffer from high-pitched “tick”, this yarn is very quiet on the attack, while exceeding the durability and abrasion resistance of nylon.",https://www.steveweissmusic.com/products/malletech-cn9-two-toned-birch-marimba-mallets
Innovative William Moersch IP513 - Medium Marimba Mallets,MODEL: IP513,"This William Moersch IP513 Medium Marimba Mallet has been designed exclusively for the marimba virtuoso. The rubber core offers a darker sound than the synthetic core models.

Features:
-rubber cores to create a full, dark tone and rich fundamental
-100% imported wool yarn
-Polished, hand-selected birch handles",https://www.steveweissmusic.com/products/innovative-william-moersch-ip513
Encore NM4B Nanae Mimura Medium Birch Marimba Mallets,N/A,"Nanae Mimura Series mallets are slightly heavier than NZ Series mallets. They feature rubber disk cores hand wrapped with latex, and are covered by North American wool. Encore's unique hand wrapped latex process enhances the fundamental allowing harder mallets which do not sound harsh, and improves the feel of the mallet's rebound. The yarn is all natural wool which is not chemically processed and therefore particularly soft and durable. (Our yarn is purchased from the sheep farm that harvests the wool - the yarn is so natural that you may occasionally see a small piece of hay from a mallet head!) The softness of their yarn combined with the hardness and clarity of their latex-wrapped disk cores make NM Series mallets two-toned and very versatile. Medium, with birch shafts.",https://www.steveweissmusic.com/products/encore-nanae-mimura-nm4b-mallets
Salyers Etude Series Birch Marimba Mallets - Hard,N/A,"The Salyers Percussion E30 hard yarn mallet features birch shafts, a rubber core and high quality wool/nylon blend yarn for a full, round tone.

The Etude Series is designed to be a high quality and economical solution for percussionists and band directors. The Etude Series is made with the same quality materials that you will find on many higher priced alternatives. The design, craftsmanship and material selection set this series apart from other “value” brands on the market today.",https://www.steveweissmusic.com/products/salyers-etude-birch-marimba-mallets-hard
Innovative Fundamental Series F1 Soft Marimba Mallets,MODEL: F1,"Innovative Percussion F1 Soft Marimba Mallets feature black painted birch handles, a rubber core to create a full rich tone, and extra durable synthetic yarn.

Manufactured by the leader in high quality keyboard mallets, the Innovative Percussion Fundamental Series Keyboard Mallets were specifically designed with the beginning percussionist and budget conscious band director in mind. This economical series offers the beginning percussionist and band director a line of quality keyboard mallets at an affordable price.

The Fundamental Series is available in 15 different models. All models feature black birch dowels and the two vibraphone models are also available with high quality rattan handles.",https://www.steveweissmusic.com/products/innovative-fundamental-f1-soft-marimba
Malletech Late Nite Series Super Soft Mallets - Rattan Handles,N/A,"The Malletech Late Night Series grants mallet players the ability to practice on their instrument delivering an extremely low volume sound. Essentially this is the practice pad for mallet players. Play with normal natural feel, mallets to bar. No covers, mutes or bar treatments needed. Perfect for warming up backstage, apartment or dorm living situations.

The LN1R is loosely wrapped with a soft yarn delivering a super soft tone, nearly silent with slurring articulation.

Rattan Handles",https://www.steveweissmusic.com/products/malletech-late-nite-super-soft-rattan
Malletech Eric Sammut ES8 Medium To Soft Birch Marimba Mallets,MODEL: ES08,The Malletech Eric Sammut ES8 Marimba Mallets feature a multi-tone medium to soft core mounted on birch handles. These mallets are perfect as a set of four used throughout the entire marimba or as the bass mallet in a graduated set.,https://www.steveweissmusic.com/products/malletech-eric-sammut-es8-marimba-mallet
Innovative Thomas Burritt TB2 Medium Soft Marimba Mallets,MODEL: TB2,"The Innovative Thomas Burritt TB2 Marimba Mallet is the medium soft mallet of the series. The TB2 delivers a great soft articulation. It sounds rich throughout the entire range of a 5 octave marimba. A perfect mallet for the Bach Cello Suites. The Burritt Mallets feature synthetic cores with loosely wrapped soft yarn. Special attention was paid to the balance of this mallet ensuring the player will have complete timbre control while reducing the attack.

Medium soft synthetic core
Birch handles with a walnut stain
Mallet head is loosely wrapped to minimize attack and promote bar resonance",https://www.steveweissmusic.com/products/innovative-percussion-thomas-burritt-tb2-medium-soft-marimba-mallets
Innovative Pius Cheung PIUS2B Medium Soft Marimba Mallets - Birch,MODEL: PIUS2B,"The Innovative Percussion Pius Cheung Series Marimba Mallets features six models with rubber cores of varying hardness. Constructed on Birch handles, each model is wrapped with a very unique alpaca-blend yarn that allows the player to produce a strong fundamental tone at extreme dynamic ranges from the utmost silky pianissimo to peasante fortissimo with minimal effort.

The PIUS2 is a medium soft bass mallet for ensemble or concerto playing.",https://www.steveweissmusic.com/products/innovative-pius-cheung-marimba-mallets-medium-soft-birch
Marimba One Round Sound Birch Marimba Mallets - Medium Hard,N/A,"Marimba One Round Sound mallets are the perfect marriage of Marimba One sound quality and the needs of percussionists. The RSB2 is a medium hard mallet, great attack from middle C to the very top, with a birch handle.

Marimba One Round Sound series mallets feature the same Marimba One excellence at a more affordable price. They are a lightweight mallet with warmth and articulation. This is the mallet that works to make you sound great. Double-wound using Marimba One’s exclusive technology.",https://www.steveweissmusic.com/products/marimba-one-round-sound-mallets-medium-hard
Innovative Ludwig Albert IP3105 Medium Rattan Marimba Mallets,MODEL: IP3105,"This line of professional keyboard mallets has been specifically designed for Belgium marimba artist Ludwig Albert III. The eight models feature shafts constructed of superior quality rattan and specially weighted rubber cores of varying sizes and degrees of hardness. Wool-blend yarn is used to fully maximize the dynamic potential of the line, while the unique shape allows for precise tonal clarity. The length provides an ultimate balance, which will meet the needs of today's professional player.

IP3101 Extra Soft Marimba
IP3102 Medium Extra Soft Marimba
IP3103 Soft Marimba
IP3104 Medium Soft Marimba
IP3105 Medium Marimba
IP3106 Medium Hard Marimba
IP3107 Hard Marimba
IP3108 Extra Hard Marimba

Features:

Rubber cores of varying size, shape, and hardness

Superior quality rattan

Wool-blend yarn wrap",https://www.steveweissmusic.com/products/innovative-ludwig-albert-ip3105
Malletech Michael Burritt MB18 Medium Hard–Hard Birch Marimba Mallets,MODEL: MB18,"Multi-toned, medium hard to hard, with blue label. Offering a wide timbral range and the potential cutting power of a much harder mallet when pushed to high dynamic levels.

Mike is internationally respected as a marimba virtuoso, composer and teacher. The six models of the Michael Burritt Series are built around 1 1/8″ diameter natural rubber cores. All of the models also have one or more additional layers of latex rubber on top of the natural rubber for a more complex multi-toned response pattern. All models are wrapped and stitched with a synthetic blend that has good durability. The yarn has also been designed to have just a touch of contact “chiff” for the extra cutting power Michael requires. All models feature selected birch shafts.

Synthetic Yarn
Medium Hard to Hard Hardness (Multi-tonal)
Birch Shafts
Oval Shaped Mallet Head",https://www.steveweissmusic.com/products/malletech-mb18-medium-hard-hard-marimba-mallets
Innovative Ludwig Albert IP3107B Hard Birch Marimba Mallets,MODEL: IP3107B,"This line of professional keyboard mallets by Innovative Percussion has been specifically designed for Belgium marimba artist Ludwig Albert III. The eight models, previously only offered on rattan handles, are now available on natural birch handles with specially weighted rubber cores of varying sizes and degrees of hardness.

The IP3107B is a hard marimba mallet with birch handles.",https://www.steveweissmusic.com/products/innovative-ludwig-albert-ip3107b
Yamaha Keiko Abe MKA-07 Soft Rattan Marimba Mallets,MODEL: MKA-07,"The Soft Mallet from the Yamaha Keiko Abe Mallet Series is the MKA07. The rubber core is wrapped with a 1mm tube is covered in a high quality yarn. The Rattan shaft measures in 430mm and will feel extremely well balanced.

This mallet will be perfect for the lower octaves of a graduated set but could also work in some creative sets where the softer voice is the soprano or alto.",https://www.steveweissmusic.com/products/yamaha-keiko-abe-mallets-mka07
Malletech Concerto Series CN4 Soft Birch Marimba Mallets,N/A,"Single-Toned. Model CN4 is a wide-range, soft mallet that is unusually rich in the bass, without being “thumpy” in the upper range.

The six models that comprise the Concerto Series have been designed specifically for those players looking for a heavy mallet with a big sound that will project through a large ensemble, but do not want the contact noise that is usually associated with this type of mallet. Compared to standard traditional mallets of similar hardness, the player will immediately notice proportionally more fundamental tone and greater volume. While many synthetic yarns suffer from high-pitched “tick”, this yarn is very quiet on the attack, while exceeding the durability and abrasion resistance of nylon.",https://www.steveweissmusic.com/products/malletech-cn4-soft-birch-marimba-mallets
Innovative Weichen Lin Marimba Mallets Birch - Medium,MODEL: WL4B,"The Innovative Weichen Lin Medium Marimba Mallets function perfectly across the entire instrument allowing you to achieve clear fundamentals at any dynamic. The blended yarn creates an incredibly versatile mallet, capable of lush Bach chorales as well as more contemporary articulate passages. Built on birch shafts, the rubber cores provide a strong fundamental tone with very little contact sound.

-16 3/4"" Total Length",https://www.steveweissmusic.com/products/innovative-wei-chen-lin-marimba-medium-birch
Innovative Soloist Series IP100 Soft Birch Marimba Mallets,MODEL: IP100,"The Innovative Percussion IP100 Soloist Series Soft Marimba Mallets are designed for use in the lower 3 octaves of a 5 octave marimba and feature 100% wool yarn, birch handles and hard rubber cores that help to create a full, rich tome and warm fundamental.

Designed with the marimba virtuoso in mind, the Soloist Series is constructed using hard rubber cores, covered in a series of latex combinations. The mallets are wrapped is a 100% wool wrap, custom manufactured specifically for Innovative Percussion, which delivers a brilliant, rich tone with the warmest fundamental possible in all registers of the marimba. The series is offered on birch handles that are polished for the smoothest natural finish. Each step of production insures a mallet designed to meet the highest standards of today's most demanding marimbist.",https://www.steveweissmusic.com/products/innovative-ip100
Yamaha Keiko Abe Signature Birch Keyboard Mallets Medium Soft,MODEL: MKAW-06,"The MKAW06 is the Medium Soft Mallet from the Yamaha Keiko Abe Mallet series. It has a rubber core with a 1mm tube wrapped around it. The MKAW06 is finished in layers of a high quality yarn. The 430mm straight Birch shaft will feel well balanced.

This is a great mallet for more legato of pieces that require a more delicate touch. Perfect in any place in a graduated set.",https://www.steveweissmusic.com/products/yamaha-keiko-abe-signature-birch-keyboard-mallets-medium-soft
Vic Firth American Custom Keyboard - Medium Head - Mushroom,MODEL: M3,"Vic Firth M3 American Custom Keyboard Mallets feature a medium mushroom head for all-around playing. Vic Firth M3 mallets are 16"" long.

The Vic Firth M3 American Custom Keyboard Mallets are designed to address a range of instruments and all dynamic levels. This yarn model features a 3-ply nylon yarn that is virtually indestructible yet provides excellent cushioning for a softer sound.

With birch shafts for rigidity and consistency, they are favored by players who prefer extra reach without the added flexibility of rattan.",https://www.steveweissmusic.com/products/vic-firth-m3-keyboard-medium-mushroom
Innovative Ivan Trevino Medium Dark Marimba Mallets - Walnut Stained Birch,MODEL: IT2,"The Innovative Ivan Trevino Medium Dark Marimba mallets features a core tailored for a distinct sound and balance. This mallet functions as an all purpose mallet delivering a darker more subtle sound with a clean fundamental. The marimba models feature longer shafts for ease of playing wide intervals.

Handles - Walnut stained birch
Synthetic Core
Green tape indicator on the handle
Length - 16.75""",https://www.steveweissmusic.com/products/innovative-ivan-trevino-marimba-dark
Malletech Michael Burritt Version 2 MB5-V2 Marimba Mallets - Soft,MODEL: MB05-V2,"Single-toned, soft. A fat sounding mallet that is good for heavy struck note passage work and rolls.

Mike is internationally respected as a marimba virtuoso, composer and teacher. The six models of the Michael Burritt Series are built around 1 1/8″ diameter natural rubber cores. All of the models also have one or more additional layers of latex rubber on top of the natural rubber for a more complex multi-toned response pattern. All models are wrapped and stitched with a synthetic blend that has good durability. The yarn has also been designed to have just a touch of contact “chiff” for the extra cutting power Michael requires. All models feature selected birch shafts.

Synthetic Yarn
Soft Hardness
Birch Shafts
Oval Shaped Mallet Head",https://www.steveweissmusic.com/products/malletech-burritt-marimba-soft
Innovative Pius Cheung PIUS3 Medium General Marimba Mallets,MODEL: PIUS3,"The Innovative Percussion Pius Cheung Series Marimba Mallets features six models with rubber cores of varying hardness. Constructed on rattan handles, each model is wrapped with a very unique alpaca-blend yarn that allows the player to produce a tone of gold at extreme dynamic ranges from the utmost silky pianissimo to peasante fortissimo with minimal effort.

The PIUS3 is a medium, general mid-range mallet for solo playing.",https://www.steveweissmusic.com/products/innovative-pius-cheung-pius3-medium-general-marimba-mallets
Innovative Rattan Series RS30 Medium-Hard Marimba/Vibraphone Mallet,MODEL: RS30,"The RS30 medium-hard marimba/vibraphone mallets are constructed on durable rattan handles with large
oval cores and are tightly wrapped with synthetic yarn.",https://www.steveweissmusic.com/products/innovative-rs30
Marimba One Katarzyna Mycka KMB2 Hard Birch Mallets,N/A,"The Katarzyna Mycka Professional Mallet Series are wrapped very tightly with all synthetic yarn. The combination of synthetic yarn and the tight wrap gives the immediate response of the bar that is required for ensemble and orchestra playing. The heavy weight of these mallets brings out the warmth of the bars by physically putting into motion the fundamental frequency of the bars.

Katarzyna recommends using this hard mallet for such pieces as Leander Kaiser's Hurricane's Eye; Ney Rosauro's Marimba concerto No. 1 (3rd Mvmt, 2nd Mvmt - right hand), No. 2 (3rd Mvmt); Andrew Thomas's Merlin (2nd Mvmt); John Thrower's Aurora borealis (1st Mvmt); Anders Koppel's Concerto No. 1 (3rd Mvmt); and Toshimitsu Tanaka's Two Movements (1st).",https://www.steveweissmusic.com/products/marimba-one-katarzyna-mycka-kmb2
Musser Good Vibes Mallets - Medium (M235),MODEL: M235,"Musser Good Vibes mallets have long been sought after and recognized as the world’s finest professional mallets. Handles are choice light rattan carefully selected and matched for size, weight, and flex. Select premium cord is wound around a solid, specially formulated and shaped rubber core, then carefully stitched.

Rattan Handle
Hardness - Medium
Cord Wrapped",https://www.steveweissmusic.com/products/musser-good-vibe-mallets-m235
Malletech Go2 Series-Scott Herring,MODEL: SH14,"Malletech Scott Herring mallets perform well in solo repertoire, percussion ensemble and chamber music - and can be combined with other Malletech models to create a 'custom' graduated set.",https://www.steveweissmusic.com/products/malletech-go-to-series-scott-herring
